index,INDEX,SALES
1976-01-30 00:00:00,0.54,9.53
1976-02-27 00:00:00,0.54,9.25
1976-03-31 00:00:00,1.12,9.36
1976-04-30 00:00:00,1.32,9.8
1976-05-31 00:00:00,1.12,8.82
1976-06-30 00:00:00,1.12,8.32
1976-07-30 00:00:00,1.12,7.12
1976-08-31 00:00:00,1.32,7.1
1976-09-30 00:00:00,1.93,6.59
1976-10-29 00:00:00,2.13,6.31
1976-11-30 00:00:00,1.52,6.56
1976-12-31 00:00:00,1.32,7.73
1977-01-31 00:00:00,-0.03,9.93
1977-02-28 00:00:00,0.15,9.75
1977-03-31 00:00:00,-0.03,10.57
1977-04-29 00:00:00,-0.22,10.84
1977-05-31 00:00:00,-0.03,10.77
1977-06-30 00:00:00,0.15,9.61
1977-07-29 00:00:00,0.15,8.95
1977-08-31 00:00:00,0.15,8.89
1977-09-30 00:00:00,0.73,7.89
1977-10-31 00:00:00,0.54,7.72
1977-11-30 00:00:00,0.34,8.37
1977-12-30 00:00:00,-0.03,9.11
1978-01-31 00:00:00,-0.22,10.62
1978-02-28 00:00:00,0.93,9.84
1978-03-31 00:00:00,1.32,9.42
1978-04-28 00:00:00,0.93,10.01
1978-05-31 00:00:00,0.15,10.46
1978-06-30 00:00:00,0.15,10.66
1978-07-31 00:00:00,0.34,11.03
1978-08-31 00:00:00,0.34,10.54
1978-09-29 00:00:00,-0.41,10.02
1978-10-31 00:00:00,1.12,9.85
1978-11-30 00:00:00,0.54,9.24
1978-12-29 00:00:00,-0.22,10.76
1979-01-31 00:00:00,0.54,10.33
1979-02-28 00:00:00,0.54,10.62
1979-03-30 00:00:00,0.34,10.27
1979-04-30 00:00:00,-0.03,10.96
1979-05-31 00:00:00,-0.03,10.93
1979-06-29 00:00:00,0.15,10.66
1979-07-31 00:00:00,-0.03,10.58
1979-08-31 00:00:00,-0.22,9.66
1979-09-28 00:00:00,-0.03,9.67
1979-10-31 00:00:00,-0.59,10.2
1979-11-30 00:00:00,-0.59,10.53
1979-12-31 00:00:00,-0.78,10.54
1980-01-31 00:00:00,-1.14,9.67
1980-02-29 00:00:00,-0.96,10.4
1980-03-31 00:00:00,-0.96,11.07
1980-04-30 00:00:00,-0.59,11.08
1980-05-30 00:00:00,-0.41,10.27
1980-06-30 00:00:00,-0.03,10.64
1980-07-31 00:00:00,0.15,11.03
1980-08-29 00:00:00,0.34,9.63
1980-09-30 00:00:00,0.54,9.08
1980-10-31 00:00:00,0.54,8.87
1980-11-28 00:00:00,0.73,8.65
1980-12-31 00:00:00,0.54,9.27
1981-01-30 00:00:00,-1.84,10.58
1981-02-27 00:00:00,-1.84,10.52
1981-03-31 00:00:00,-2.7,11.76
1981-04-30 00:00:00,-2.19,11.58
1981-05-29 00:00:00,-2.19,11.31
1981-06-30 00:00:00,-1.84,10.16
1981-07-31 00:00:00,-0.96,10.14
1981-08-31 00:00:00,-1.67,9.81
1981-09-30 00:00:00,-1.67,10.27
1981-10-30 00:00:00,-0.96,8.8
1981-11-30 00:00:00,-1.14,8.62
1981-12-31 00:00:00,-0.96,9.46
